City,Bank Name,Acquiring Institution,State,Latitude,Longitude,Closing Date
San Francisco,First Republic Bank,"JPMorgan Chase Bank, N.A.",CA,37.7790262,-122.419906,2023-05-01
New York,Signature Bank,"Flagstar Bank, N.A.",NY,40.7127281,-74.0060152,2023-03-12
Santa Clara,Silicon Valley Bank,FirstCitizens Bank & Trust Company,CA,37.2333253,-121.6846349,2023-03-10
Almena,Almena State Bank,Equity Bank,KS,39.892229,-99.707058,2020-10-23
Fort Walton Beach,First City Bank of Florida,"United Fidelity Bank, fsb",FL,30.4057552,-86.618842,2020-10-16
Barboursville,The First State Bank,"MVB Bank, Inc.",WV,38.4095298,-82.2945923,2020-04-03
Ericson,Ericson State Bank,Farmers and Merchants Bank,NE,41.7799242,-98.6785815,2020-02-14
Newark,City National Bank of New Jersey,Industrial Bank,NJ,40.735657,-74.1723667,2019-11-01
Maumee,Resolute Bank,Buckeye State Bank,OH,41.5628294,-83.6538244,2019-10-25
Louisa,Louisa Community Bank,Kentucky Farmers Bank Corporation,KY,38.1144867,-82.6030988,2019-10-25
Cooper,The Enloe State Bank,"Legend Bank, N. A.",TX,33.3721434,-95.6877086,2019-05-31
Chicago,Washington Federal Bank for Savings,Royal Savings Bank,IL,41.8755616,-87.6244212,2017-12-15
Argonia,The Farmers and Merchants State Bank of Argonia,Conway Bank,KS,37.265854,-97.7656092,2017-10-13
Saint Elmo,Fayette County Bank,"United Fidelity Bank, fsb",IL,39.0272663,-88.8481139,2017-05-26
Milwaukee,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",First-Citizens Bank & Trust Company,WI,43.0349931,-87.922497,2017-05-05
New Orleans,First NBC Bank,Whitney Bank,LA,29.9759983,-90.0782127,2017-04-28
Cottonwood Heights,Proficio Bank,Cache Valley Bank,UT,40.613474,-111.8256464,2017-03-03
Chicago,Seaway Bank and Trust Company,State Bank of Texas,IL,41.8755616,-87.6244212,2017-01-27
Pennsville,Harvest Community Bank,First-Citizens Bank & Trust Company,NJ,39.6502715,-75.50833325636759,2017-01-13
Mulberry,Allied Bank,Today's Bank,AR,35.5006417,-94.0515919,2016-09-23
Woodbury,The Woodbury Banking Company,United Bank,GA,32.9837394,-84.5827031,2016-08-19
King of Prussia,First CornerStone Bank,First-Citizens Bank & Trust Company,PA,40.09476245,-75.3851333563417,2016-05-06
Memphis,Trust Company Bank,The Bank of Fayette County,TN,35.1460249,-90.0517638,2016-04-29
Milwaukee,North Milwaukee State Bank,First-Citizens Bank & Trust Company,WI,43.0349931,-87.922497,2016-03-11
Longview,Hometown National Bank,Twin City Bank,WA,46.1377048,-122.934462,2015-10-02
Peachtree City,The Bank of Georgia,Fidelity Bank,GA,33.3967829,-84.5957629,2015-10-02
Denver,Premier Bank,"United Fidelity Bank, fsb",CO,39.7392364,-104.984862,2015-07-10
Chicago,Edgebrook Bank,Republic Bank of Chicago,IL,41.8755616,-87.6244212,2015-05-08
San Juan,Doral Bank,Banco Popular de Puerto Rico,PR,18.465299,-66.116666,2015-02-27
Atlanta,Capitol City Bank & Trust Company,First-Citizens Bank & Trust Company,GA,33.7489924,-84.3902644,2015-02-13
Chicago,Highland Community Bank,"United Fidelity Bank, fsb",IL,41.8755616,-87.6244212,2015-01-23
Crestview,First National Bank of Crestview,First NBC Bank,FL,30.7621326,-86.5705084,2015-01-16
Mankato,Northern Star Bank,BankVista,MN,44.1634663,-93.9993505,2014-12-19
Palm Desert,"Frontier Bank, FSB D/B/A El Paseo Bank","Bank of Southern California, N.A.",CA,33.7288179,-116.382571,2014-11-07
Chicago,The National Republic Bank of Chicago,State Bank of Texas,IL,41.8755616,-87.6244212,2014-10-24
Rising Sun,NBRS Financial,Howard Bank,MD,39.6980597,-76.0628964,2014-10-17
Chicago,"GreenChoice Bank, fsb","Providence Bank, LLC",IL,41.8755616,-87.6244212,2014-07-25
Conyers,Eastside Commercial Bank,Community & Southern Bank,GA,33.6676103,-84.0176904,2014-07-18
Freedom,The Freedom State Bank,Alva State Bank & Trust Company,OK,36.7692966,-99.1133631,2014-06-27
Fort Lauderdale,Valley Bank,"Landmark Bank, National Association",FL,26.1223084,-80.1433786,2014-06-20
Moline,Valley Bank,Great Southern Bank,IL,41.5058344,-90.5136642,2014-06-20
Bel Air,Slavie Federal Savings Bank,"Bay Bank, FSB",MD,39.5355063,-76.3490396,2014-05-30
Cincinnati,Columbia Savings Bank,"United Fidelity Bank, fsb",OH,39.1014537,-84.5124602,2014-05-23
Berwyn,AztecAmerica Bank,Republic Bank of Chicago,IL,41.8505874,-87.7936685,2014-05-16
Fairfax,Allendale County Bank,Palmetto State Bank,SC,32.9585379,-81.2372124,2014-04-25
Horsham,Vantage Point Bank,First Choice Bank,PA,40.1842455,-75.13905239078957,2014-02-28
Sterling,"Millennium Bank, National Association",WashingtonFirst Bank,VA,39.003809849999996,-77.40832792370676,2014-02-28
Boise,Syringa Bank,Sunwest Bank,ID,43.6008183,-116.24210864118032,2014-01-31
El Reno,The Bank of Union,BancFirst,OK,35.532198,-97.9550578,2014-01-24
West Chicago,DuPage National Bank,Republic Bank of Chicago,IL,41.8847507,-88.2039607,2014-01-17
The Woodlands,"Texas Community Bank, National Association","Spirit of Texas Bank, SSB",TX,30.1734194,-95.504686,2013-12-13
Graceville,Bank of Jackson County,First Federal Bank of Florida,FL,30.96015375,-85.51052263287673,2013-10-30
Edinburg,First National Bank also operating as The National Bank of El Paso,PlainsCapital Bank,TX,26.3013982,-98.1624501,2013-09-13
Bridgeport,The Community's Bank,No Acquirer,CT,41.1670412,-73.2048348,2013-09-13
Phoenix,Sunrise Bank of Arizona,"First Fidelity Bank, National Association",AZ,33.4484367,-112.074141,2013-08-23
Parsons,Community South Bank,"CB&S Bank, Inc.",TN,35.649791,-88.1267025,2013-08-23
Wausau,Bank of Wausau,Nicolet National Bank,WI,44.9596017,-89.6298239,2013-08-09
Fort Myers,First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),C1 Bank,FL,26.640628,-81.8723084,2013-08-02
Sevierville,Mountain National Bank,"First Tennessee Bank, National Association",TN,35.8681455,-83.561835,2013-06-07
North Las Vegas,1st Commerce Bank,Plaza Bank,NV,36.2005843,-115.121584,2013-06-06
Kenosha,Banks of Wisconsin d/b/a Bank of Kenosha,"North Shore Bank, FSB",WI,42.5846773,-87.8212263,2013-05-31
Scottsdale,Central Arizona Bank,Western State Bank,AZ,33.4942189,-111.926018,2013-05-14
Valdosta,Sunrise Bank,Synovus Bank,GA,30.8327022,-83.2784851,2013-05-10
Asheville,Pisgah Community Bank,"Capital Bank, N.A.",NC,35.595076,-82.5528478,2013-05-10
Douglasville,Douglas County Bank,Hamilton State Bank,GA,33.7514966,-84.7477136,2013-04-26
Lenoir,Parkway Bank,"CertusBank, National Association",NC,35.2590371,-77.6484879,2013-04-26
Marianna,Chipola Community Bank,First Federal Bank of Florida,FL,30.7743596,-85.2268735,2013-04-19
Orange Park,Heritage Bank of North Florida,FirstAtlantic Bank,FL,30.1654707,-81.7016346,2013-04-19
Lexington,First Federal Bank,Your Community Bank,KY,38.0464066,-84.4970393,2013-04-19
Gold Canyon,Gold Canyon Bank,"First Scottsdale Bank, National Association",AZ,33.3710715,-111.42618498017515,2013-04-05
LaGrange,Frontier Bank,HeritageBank of the South,GA,33.039291,-85.0313269,2013-03-08
Chicago,Covenant Bank,Liberty Bank and Trust Company,IL,41.8755616,-87.6244212,2013-02-15
Andover,1st Regents Bank,First Minnesota Bank,MN,45.2332985,-93.2913405,2013-01-18
University Place,Westside Community Bank,Sunwest Bank,WA,47.2368034,-122.552067,2013-01-11
Sunrise Beach,Community Bank of the Ozarks,Bank of Sullivan,MO,38.1758645,-92.7843553,2012-12-14
Braselton,Hometown Community Bank,"CertusBank, National Association",GA,34.1092735,-83.7626729,2012-11-16
Princeton,Citizens First National Bank,Heartland Bank and Trust Company,IL,41.368092,-89.4648145,2012-11-02
Lutz,Heritage Bank of Florida,Centennial Bank,FL,28.1300994,-82.45918424070945,2012-11-02
Berwyn,NOVA Bank,No Acquirer,PA,40.0448306,-75.4388053,2012-10-26
Sedalia,Excel Bank,Simmons First National Bank,MO,38.7098314,-93.2295515,2012-10-19
Tamarac,First East Side Savings Bank,Stearns Bank N.A.,FL,26.2128609,-80.2497707,2012-10-19
Destin,GulfSouth Private Bank,SmartBank,FL,30.3935337,-86.4957834,2012-10-19
Crete,First United Bank,"Old Plank Trail Community Bank, National Association",IL,41.4445334,-87.6313829,2012-09-28
St. Louis,Truman Bank,Simmons First National Bank,MO,38.6280278,-90.1910154,2012-09-14
Bloomington,First Commercial Bank,Republic Bank & Trust Company,MN,44.8322405,-93.3204872,2012-09-07
Waukegan,Waukegan Savings Bank,First Midwest Bank,IL,42.3636331,-87.8447938,2012-08-03
Jasper,Jasper Banking Company,Stearns Bank N.A.,GA,33.3254635,-83.6868559,2012-07-27
Chicago,Second Federal Savings and Loan Association of Chicago,Hinsdale Bank & Trust Company,IL,41.8755616,-87.6244212,2012-07-20
Leawood,Heartland Bank,Metcalf Bank,KS,38.966673,-94.6169012,2012-07-20
Woodstock,First Cherokee State Bank,Community & Southern Bank,GA,34.1014112,-84.5192192,2012-07-20
Buford,Georgia Trust Bank,Community & Southern Bank,GA,34.1206564,-84.0043513,2012-07-20
Naples,The Royal Palm Bank of Florida,First National Bank of the Gulf Coast,FL,26.1421976,-81.7942944,2012-07-20
Glasgow,Glasgow Savings Bank,Regional Missouri Bank,MO,39.2255213,-92.8435384,2012-07-13
Ailey,Montgomery Bank & Trust,Ameris Bank,GA,32.1874042,-82.5656886,2012-07-06
Lynchburg,The Farmers Bank of Lynchburg,Clayton Bank and Trust,TN,35.2831727,-86.3739827,2012-06-15
Marietta,Security Exchange Bank,Fidelity Bank,GA,33.9528472,-84.5496148,2012-06-15
Palatka,Putnam State Bank,Harbor Community Bank,FL,29.6487882,-81.6372111,2012-06-15
Whiteville,Waccamaw Bank,First Community Bank,NC,34.3387802,-78.7030721,2012-06-08
Shabbona,Farmers' and Traders' State Bank,First State Bank,IL,41.7680851,-88.8770311,2012-06-08
Charleston,Carolina Federal Savings Bank,Bank of North Carolina,SC,32.7884363,-79.9399309,2012-06-08
Kingfisher,First Capital Bank,F & M Bank,OK,35.9471931,-97.9641244,2012-06-08
Sylacauga,"Alabama Trust Bank, National Association",Southern States Bank,AL,33.1731716,-86.2516406,2012-05-18
North Lauderdale,"Security Bank, National Association",Banesco USA,FL,26.217305,-80.2258811,2012-05-04
Palm Desert,Palm Desert National Bank,Pacific Premier Bank,CA,33.7288179,-116.382571,2012-04-27
Pawleys Island,Plantation Federal Bank,First Federal Bank,SC,33.4293486,-79.1215912,2012-04-27
Maple Grove,"Inter Savings Bank, fsb D/B/A InterBank, fsb",Great Southern Bank,MN,45.0984983,-93.4419222,2012-04-27
Gaithersburg,HarVest Bank of Maryland,Sonabank,MD,39.1399187,-77.1929215,2012-04-27
Cambridge,Bank of the Eastern Shore,No Acquirer,MD,38.5714624,-76.0763177,2012-04-27
Fort Lee,"Fort Lee Federal Savings Bank, FSB",Alma Bank,NJ,40.8509333,-73.9701382,2012-04-20
Dearborn,Fidelity Bank,The Huntington National Bank,MI,42.3222599,-83.1763145,2012-03-30
Wilmette,Premier Bank,International Bank of Chicago,IL,42.0757315,-87.7193768,2012-03-23
Rock Spring,Covenant Bank & Trust,"Stearns Bank, N.A.",GA,34.8242442,-85.2427323,2012-03-23
Chicago,New City Bank,No Acquirer,IL,41.8755616,-87.6244212,2012-03-09
Doraville,Global Commerce Bank,Metro City Bank,GA,33.8981579,-84.2832564,2012-03-02
Little Falls,Home Savings of America,No Acquirer,MN,45.9763545,-94.3625024,2012-02-24
Ellaville,Central Bank of Georgia,Ameris Bank,GA,32.2382139,-84.3090798,2012-02-24
Shelbyville,SCB Bank,"First Merchants Bank, National Association",IN,39.5214373,-85.7769238,2012-02-10
Hoffman Estates,Charter National Bank and Trust,"Barrington Bank & Trust Company, National Association",IL,42.0427256,-88.0792782,2012-02-10
Knoxville,BankEast,"U.S. Bank, N.A.",TN,35.9603948,-83.9210261,2012-01-27
Forest Lake,Patriot Bank Minnesota,First Resource Bank,MN,45.279106,-92.9851629,2012-01-27
Franklin,Tennessee Commerce Bank,Republic Bank & Trust Company,TN,35.925206,-86.8689419,2012-01-27
Jacksonville,First Guaranty Bank and Trust Company of Jacksonville,"CenterState Bank of Florida, N.A.",FL,30.3321838,-81.655651,2012-01-27
Boothwyn,American Eagle Savings Bank,"Capital Bank, N.A.",PA,39.835907000000006,-75.4488451464276,2012-01-20
Stockbridge,The First State Bank,Hamilton State Bank,GA,33.5442781,-84.2338093,2012-01-20
Belleview,Central Florida State Bank,"CenterState Bank of Florida, N.A.",FL,29.0552507,-82.0623105,2012-01-20
Phoenix,Western National Bank,Washington Federal,AZ,33.4484367,-112.074141,2011-12-16
Crestview,Premier Community Bank of the Emerald Coast,Summit Bank,FL,30.7621326,-86.5705084,2011-12-16
Lacombe,Central Progressive Bank,First NBC Bank,LA,30.3135288,-89.9431264,2011-11-18
Johnston,Polk County Bank,Grinnell State Bank,IA,41.6731523,-93.6973395,2011-11-18
Rockmart,Community Bank of Rockmart,Century Bank of Georgia,GA,34.0026005,-85.0416133,2011-11-10
Saint George,SunFirst Bank,Cache Valley Bank,UT,37.104153,-113.5841313,2011-11-04
Omaha,"Mid City Bank, Inc.",Premier Bank,NE,41.2587459,-95.9383758,2011-11-04
Des Plaines,All American Bank,International Bank of Chicago,IL,42.0415823,-87.8873916,2011-10-28
Greenwood Village,Community Banks of Colorado,"Bank Midwest, N.A.",CO,39.6172101,-104.950814,2011-10-21
Jonesboro,Community Capital Bank,State Bank and Trust Company,GA,33.5215013,-84.3538128,2011-10-21
Decatur,Decatur First Bank,Fidelity Bank,GA,30.8736613,-84.5740953,2011-10-21
Clearwater,Old Harbor Bank,1st United Bank,FL,27.9658533,-82.8001026,2011-10-21
Aledo,Country Bank,Blackhawk Bank & Trust,IL,41.1998568,-90.7486349,2011-10-14
Cranford,First State Bank,Northfield Bank,NJ,40.6584358,-74.2995923,2011-10-14
Asheville,"Blue Ridge Savings Bank, Inc.",Bank of North Carolina,NC,35.595076,-82.5528478,2011-10-14
Gray,Piedmont Community Bank,State Bank and Trust Company,GA,33.0095802,-83.5337816,2011-10-14
Ellington,Sun Security Bank,Great Southern Bank,MO,37.2417147,-90.9687356,2011-10-07
Wyoming,The RiverBank,Central Bank,MN,45.3363551,-92.9971631,2011-10-07
Plano,First International Bank,American First National Bank,TX,33.0136764,-96.6925096,2011-09-30
Nevada City,Citizens Bank of Northern California,Tri Counties Bank,CA,39.2615606,-121.0160594,2011-09-23
Norfolk,Bank of the Commonwealth,Southern Bank and Trust Company,VA,36.8448348,-76.2863999,2011-09-23
Milton,The First National Bank of Florida,CharterBank,FL,30.6324149,-87.0396881,2011-09-09
Woodstock,CreekSide Bank,Georgia Commerce Bank,GA,34.1014112,-84.5192192,2011-09-02
Cumming,Patriot Bank of Georgia,Georgia Commerce Bank,GA,34.2073196,-84.1401926,2011-09-02
Geneva,First Choice Bank,Inland Bank & Trust,IL,41.8875281,-88.3053525,2011-08-19
Statesboro,First Southern National Bank,Heritage Bank of the South,GA,32.4490141,-81.7832912,2011-08-19
Palm Beach,Lydian Private Bank,"Sabadell United Bank, N.A.",FL,26.6279798,-80.4494174,2011-08-19
Huntingdon Valley,Public Savings Bank,"Capital Bank, N.A.",PA,40.1226101,-75.0635049,2011-08-18
Olathe,The First National Bank of Olathe,Enterprise Bank & Trust,KS,38.8838856,-94.81887,2011-08-12
Colfax,Bank of Whitman,Columbia State Bank,WA,41.6777241,-93.2452335,2011-08-05
Shorewood,Bank of Shorewood,Heartland Bank and Trust Company,IL,41.5200305,-88.2017293,2011-08-05
Evansville,Integra Bank National Association,Old National Bank,IN,37.970495,-87.5715641,2011-07-29
Columbia,"BankMeridian, N.A.",SCBT National Association,SC,34.0007493,-81.0343313,2011-07-29
Richmond,Virginia Business Bank,Xenith Bank,VA,37.5385087,-77.43428,2011-07-29
Greeley,Bank of Choice,"Bank Midwest, N.A.",CO,40.4233142,-104.7091322,2011-07-22
Sarasota,LandMark Bank of Florida,American Momentum Bank,FL,27.3365805,-82.5308545,2011-07-22
Apollo Beach,Southshore Community Bank,American Momentum Bank,FL,27.7729445,-82.39813752699379,2011-07-22
Prescott,Summit Bank,The Foothills Bank,AZ,34.539984,-112.468812,2011-07-15
Port St. Lucie,First Peoples Bank,"Premier American Bank, N.A.",FL,27.2939333,-80.3503283,2011-07-15
Stockbridge,High Trust Bank,Ameris Bank,GA,33.5442781,-84.2338093,2011-07-15
Atlanta,One Georgia Bank,Ameris Bank,GA,33.7489924,-84.3902644,2011-07-15
Windsor,Signature Bank,Points West Community Bank,CO,38.5471327,-122.8163802,2011-07-08
Castle Rock,Colorado Capital Bank,First-Citizens Bank & Trust Company,CO,39.3722552,-104.8586826,2011-07-08
Chicago,First Chicago Bank & Trust,Northbrook Bank & Trust Company,IL,41.8755616,-87.6244212,2011-07-08
Clayton,Mountain Heritage Bank,First American Bank and Trust Company,GA,33.5204959,-84.3591713,2011-06-24
Tampa,First Commercial Bank of Tampa Bay,Stonegate Bank,FL,27.9477595,-82.458444,2011-06-17
Jackson,McIntosh State Bank,Hamilton State Bank,GA,34.1282559,-83.5753386,2011-06-17
Charleston,Atlantic Bank and Trust,"First Citizens Bank and Trust Company, Inc.",SC,32.7884363,-79.9399309,2011-06-03
Snohomish,First Heritage Bank,Columbia State Bank,WA,48.0074736,-121.7304882,2011-05-27
Burlington,Summit Bank,Columbia State Bank,WA,40.8126922,-91.1020205,2011-05-20
Franklin,First Georgia Banking Company,"CertusBank, National Association",GA,34.3678642,-83.2156575,2011-05-20
Macon,Atlantic Southern Bank,"CertusBank, National Association",GA,32.8406946,-83.6324022,2011-05-20
Cocoa Beach,Coastal Bank,"Florida Community Bank, a division of Premier American Bank, N.A.",FL,28.3194741,-80.6102592,2011-05-06
Mount Clemens,Community Central Bank,Talmer Bank & Trust,MI,42.5972563,-82.8779754,2011-04-29
Valdosta,The Park Avenue Bank,Bank of the Ozarks,GA,30.8327022,-83.2784851,2011-04-29
Dallas,First Choice Community Bank,Bank of the Ozarks,GA,33.9237141,-84.8407732,2011-04-29
Brooksville,Cortez Community Bank,"Florida Community Bank, a division of Premier American Bank, N.A.",FL,28.5552719,-82.3878709,2011-04-29
Winter Park,First National Bank of Central Florida,"Florida Community Bank, a division of Premier American Bank, N.A.",FL,28.5977707,-81.3510264,2011-04-29
Carthage,Heritage Banking Group,Trustmark National Bank,MS,32.7326356,-89.5361825,2011-04-15
Rosemount,Rosemount National Bank,Central Bank,MN,44.7391873,-93.12611,2011-04-15
Birmingham,Superior Bank,"Superior Bank, National Association",AL,33.5206824,-86.8024326,2011-04-15
Birmingham,Nexity Bank,AloStar Bank of Commerce,AL,33.5206824,-86.8024326,2011-04-15
East Ellijay,New Horizons Bank,Citizens South Bank,GA,34.6839746,-84.4727049,2011-04-15
Cartersville,Bartow County Bank,Hamilton State Bank,GA,34.1652304,-84.7997613,2011-04-15
Las Vegas,Nevada Commerce Bank,City National Bank,NV,36.1672559,-115.148516,2011-04-08
Western Springs,Western Springs National Bank and Trust,Heartland Bank and Trust Company,IL,41.8096132,-87.900671,2011-04-08
Wood Dale,The Bank of Commerce,Advantage National Bank Group,IL,41.9633625,-87.9789562,2011-03-25
Milwaukee,Legacy Bank,Seaway Bank and Trust Company,WI,43.0349931,-87.922497,2011-03-11
Davis,First National Bank of Davis,The Pauls Valley National Bank,OK,34.5034796,-97.1188924,2011-03-11
St. Charles,Valley Community Bank,First State Bank,IL,41.9139808,-88.3128183,2011-02-25
San Luis Obispo,"San Luis Trust Bank, FSB",First California Bank,CA,35.3540209,-120.3757163,2011-02-18
Napa,Charter Oak Bank,Bank of Marin,CA,38.2971367,-122.2855293,2011-02-18
Springfield,Citizens Bank of Effingham,Heritage Bank of the South,GA,32.3724131,-81.3114988,2011-02-18
Clarkesville,Habersham Bank,SCBT National Association,GA,34.6125971,-83.5248933,2011-02-18
Palm Springs,Canyon National Bank,Pacific Premier Bank,CA,33.772179449999996,-116.49529769683983,2011-02-11
Cassville,Badger State Bank,Royal Bank,WI,42.7144408,-90.9907697,2011-02-11
Hamtramck,Peoples State Bank,First Michigan Bank,MI,42.3928151,-83.0496438,2011-02-11
Port Orange,Sunshine State Community Bank,"Premier American Bank, N.A.",FL,29.101628050000002,-81.01059617608054,2011-02-11
Chicago,Community First Bank Chicago,Northbrook Bank & Trust Company,IL,41.8755616,-87.6244212,2011-02-04
Watkinsville,North Georgia Bank,BankSouth,GA,33.8628959,-83.4087709,2011-02-04
Roswell,American Trust Bank,Renasant Bank,GA,34.02332,-84.360022,2011-02-04
Taos,First Community Bank,"U.S. Bank, N.A.",NM,36.4072377,-105.573284,2011-01-28
Louisville,FirsTier Bank,No Acquirer,CO,38.2542376,-85.759407,2011-01-28
Stoughton,Evergreen State Bank,McFarland State Bank,WI,42.9167389,-89.2178997,2011-01-28
Camargo,The First State Bank,Bank 7,OK,36.0174879,-99.2900229,2011-01-28
Denver,United Western Bank,First-Citizens Bank & Trust Company,CO,39.7392364,-104.984862,2011-01-21
Asheville,The Bank of Asheville,First Bank,NC,35.595076,-82.5528478,2011-01-21
Easley,CommunitySouth Bank & Trust,"CertusBank, National Association",SC,34.8269276,-82.5817053,2011-01-21
McDonough,Enterprise Banking Company,No Acquirer,GA,33.4473361,-84.1468616,2011-01-21
Brunswick,Oglethorpe Bank,Bank of the Ozarks,GA,31.1499528,-81.4914894,2011-01-14
Scottsdale,Legacy Bank,Enterprise Bank & Trust,AZ,33.4942189,-111.926018,2011-01-07
