City,Bank Name,Acquiring Institution,State,Latitude,Longitude,Closing Date
Chicago,Citizens Bank and Trust Company of Chicago,Republic Bank of Chicago,IL,41.8755616,-87.6244212,2010-04-23
Chicago,Broadway Bank,"MB Financial Bank, N.A.",IL,41.8755616,-87.6244212,2010-04-23
Rockford,"Amcore Bank, National Association",Harris N.A.,IL,42.2713945,-89.093966,2010-04-23
Lynnwood,City Bank,Whidbey Island Bank,WA,47.8278656,-122.3053932,2010-04-16
San Rafael,Tamalpais Bank,"Union Bank, N.A.",CA,37.9747795,-122.5316686,2010-04-16
Oakland,Innovative Bank,Center Bank,CA,37.8044557,-122.271356,2010-04-16
Lowell,Butler Bank,People's United Bank,MA,42.6414437,-71.3085329,2010-04-16
Fort Pierce,Riverside National Bank of Florida,"TD Bank, N.A.",FL,27.4467056,-80.3256056,2010-04-16
Clermont,AmericanFirst Bank,"TD Bank, N.A.",FL,28.5494447,-81.7728543,2010-04-16
Palatka,First Federal Bank of North Florida,"TD Bank, N.A.",FL,29.6487882,-81.6372111,2010-04-16
Sterling Heights,Lakeside Community Bank,No Acquirer,MI,42.5803122,-83.0302033,2010-04-16
Myrtle Beach,Beach First National Bank,Bank of North Carolina,SC,33.6956461,-78.8900409,2010-04-09
Phoenix,Desert Hills Bank,New York Community Bank,AZ,33.4484367,-112.074141,2010-03-26
Cartersville,Unity National Bank,Bank of the Ozarks,GA,34.1652304,-84.7997613,2010-03-26
Key West,Key West Bank,Centennial Bank,FL,24.5625566,-81.7724368,2010-03-26
Carrollton,McIntosh Commercial Bank,CharterBank,GA,33.5801103,-85.0766113,2010-03-26
Aurora,State Bank of Aurora,Northern State Bank,MN,47.5298533,-92.2367644,2010-03-19
Fort Deposit,First Lowndes Bank,First Citizens Bank,AL,31.9845929,-86.5785856,2010-03-19
Hiawassee,Bank of Hiawassee,Citizens South Bank,GA,34.947959,-83.7569922,2010-03-19
Ellijay,Appalachian Community Bank,Community & Southern Bank,GA,34.6950278,-84.4827394,2010-03-19
Draper,Advanta Bank Corp.,No Acquirer,UT,40.5247777,-111.8627989,2010-03-19
Duluth,Century Security Bank,Bank of Upson,GA,34.0028569,-84.1441046,2010-03-19
Parma,American National Bank,The National Bank and Trust Company,OH,41.3822398,-81.7355692,2010-03-19
